 ,,,,,
S. No,Name (English),Name (Tamil),Rate,80%-Discount Price,Per.
,,,,,
1.                    ,23/4” Kurvi,2¾” குருவி,40,₹ 8.00,1 Pkt.
2.                    ,31/2” Lakshmi,3½” லட்சுமி,60,₹ 12.00,1 Pkt
3.                    ,31/2”Tom and jerry,3½” டாம் & ஜெர்ரி,65,₹ 13.00,1 Pkt
4.                    ,4” Lakshmi,4” லட்சுமி,90,₹ 18.00,1 Pkt.
5.                    ,4” Dlx spider/hulk,4” டீலக்ஸ் ஸ்பைடர்மேன் / ஹல்க்,140,₹ 28.00,1 Pkt.
6.                    ,4” Mega Deluxe Lakshmi,4” மெகா டீலக்ஸ் லட்சுமி,165,₹ 33.00,1 Pkt
7.                    ,4”Gold Lakshmi  Delux,4” கோல்டு லட்சுமி டீலக்ஸ்,175,₹ 35.00,1 Pkt
8.                    ,5” Jallikattu spl ,5” ஜல்லிக்கட்டு ஸ்பெஷல்,240,₹ 48.00,1 Pkt
9.                    ,5” Spiderman,5” ஸ்பைடர்மேன்,200,₹ 40.00,1 Pkt
10.                ,6” Fighter,6” ஃபைட்டர்,225,₹ 45.00,1 Pkt
11.                ,5” Jallikattu,5” ஜல்லிக்கட்டு,175,₹ 35.00,1 Pkt
12.                ,6” Gorilla,6” கொரில்லா,205,₹ 41.00,1 Pkt
13.                ,Two Sound,டூ சவுண்ட்,140,₹ 28.00,1 Pkt.
14.                ,Eagles,ஈகிள்ஸ்,140,₹ 28.00,1 Box
15.                ,Colour Uruttu,கலர் உருட்டு,450,₹ 90.00,1 Pkt
16.                ,Flower Pots Small,பூச்சட்டி ஸ்மால்,190,₹ 38.00,1 Box
17.                ,Flower Pots Big,பூச்சட்டி பிக்,250,₹ 50.00,1 Box
18.                ,Flower Pots Special,பூச்சட்டி ஸ்பெஷல்,375,₹ 75.00,1 Box
19.                ,Flower Pots Asoka,பூச்சட்டி அசோகா,475,₹ 95.00,1 Box
20.                ,Flower pots giant,பூச்சட்டி ஜெயண்ட்,650,₹ 130.00,1 box
21.                ,Flower Pots Colour Kotti,பூச்சட்டி கலர் கொட்டி,950,₹ 190.00,1 Box
22.                ,Flower Pots Deluxe (5pcs),பூச்சட்டி டீலக்ஸ் (5 பீஸ்),825,₹ 165.00,1 Box
23.                ,Flower Pots super Deluxe (2pcs),பூச்சட்டி சூப்பர் டீலக்ஸ் (2 பீஸ்),550,₹ 110.00,1 Box
24.                ,Flower Pots Deluxe (10pcs),பூச்சட்டி டீலக்ஸ் (10 பீஸ்),1600,₹ 320.00,1 Box
25.                ,Blue Fountain(2pcs),ப்ளூ ஃபவுண்டன் (2 பீஸ்),1950,₹ 390.00,1 Box
26.                ,Violet Fountain(2pcs),வயலெட் ஃபவுண்டன் (2 பீஸ்),1750,₹ 350.00,1 Box
27.                ,Jelly Bean Super,ஜெல்லி பீன் சூப்பர்,2000,₹ 400.00,1 Box
28.                ,Jelly Bean Deluxe,ஜெல்லி பீன் டீலக்ஸ்,4000,₹ 800.00,1 Box
29.                ,Purple Koti,பர்ப்பிள் கோட்டி,1750,₹ 350.00,1 Box
30.                ,Freaky Girls 10-inch,ஃப்ரீக்கி கேர்ள்ஸ் 10-இன்ச்,1800,₹ 360.00,1 Box
31.                ,Small laddu ,ஸ்மால் லட்டு,1300,₹ 260.00,1 box
32.                ,Big laddu,பிக் லட்டு,1750,₹ 350.00,1 Box
33.                ,Chakkar Big (10pcs),சக்கரம் பிக் (10 பீஸ்),150,₹ 30.00,1 Box
34.                ,Chakkar Big (25pcs),சக்கரம் பிக் (25 பீஸ்),425,₹ 85.00,1 Box
35.                ,Chakkar Asoka,சக்கரம் அசோகா,225,₹ 45.00,1 Box
36.                ,Chakkar Special,சக்கரம் ஸ்பெஷல்,325,₹ 65.00,1 Box
37.                ,Chakkar Deluxe,சக்கரம் டீலக்ஸ்,550,₹ 110.00,1 Box
38.                ,Spinner special,ஸ்பின்னர் ஸ்பெஷல்,675,₹ 135.00,1 Box
39.                ,Spinner Delux,ஸ்பின்னர் டீலக்ஸ்,750,₹ 150.00,1 Box
40.                ,Hot Wheel big (INF),ஹாட் வீல் பிக் (INF),275,₹ 55.00,1 Box
